영상 파일명,평균 속도(FPS),최저 속도(Seconds),최고 속도(Seconds),평균 사람 형태 차단율(%),최저 사람 형태 차단율(%),최고 사람 형태 차단율(%),평균 BBox 마스킹률(%),최저 BBox 마스킹률(%),최고 BBox 마스킹률(%),평균 신뢰도 점수(Conf)
result_20260601_130319.csv,3.873000517541497,0.1434893608093261,0.5832505226135254,100.0,100.0,100.0,77.42848965479823,50.48737467508355,92.4951826191842,0.872611740667201
result_20260601_132236.csv,3.17654898015704,0.1875226497650146,0.6027657985687256,100.0,100.0,100.0,61.41316693742249,47.52111486486486,90.3448275862069,0.8798731260791979
result_20260602_163553.csv,3.4156531046309144,0.1488332748413086,0.7927703857421875,100.0,100.0,100.0,83.60585149314973,60.013043478260876,97.20926676351404,0.8153306298072521
result_20260603_150531.csv,4.001292931152419,0.1638765335083007,0.4210600852966308,100.0,100.0,100.0,71.50701292083717,37.002189381499726,89.23378601080584,0.89164484933789
result_20260603_152725.csv,4.797234061956884,0.167057991027832,0.2942259311676025,100.0,100.0,100.0,73.05719853606375,56.58913071364433,85.72499625131204,0.8952625534016269
result_20260603_154548.csv,4.797110016999179,0.1847646236419677,0.477168321609497,100.0,100.0,100.0,75.33805085444303,58.52346002124109,90.8840239249596,0.8749470739437858
result_20260603_160130.csv,4.782767300259214,0.1661789417266845,0.3167493343353271,100.0,100.0,100.0,71.58182267845899,37.86308732916028,89.78371374464268,0.8854616481684708
result_20260603_161743.csv,4.863165020722,0.1723644733428955,0.2901856899261474,100.0,100.0,100.0,68.19756368425057,36.805193110647174,87.83789640973777,0.845979854801586
result_20260603_163554.csv,4.550831423488665,0.1756470203399658,0.3179519176483154,100.0,100.0,100.0,75.57371466345974,55.823699041398925,87.4985499680993,0.8520240279662813
result_20260603_165400.csv,4.564834247481037,0.163999319076538,0.5146334171295166,100.0,100.0,100.0,75.82390972271517,50.67766159144913,96.63637812848715,0.8303000689745612
result_20260603_171048.csv,4.570914698934193,0.1879079341888427,0.3927135467529297,100.0,100.0,100.0,73.24317322727173,56.53410693136315,89.02846118078159,0.8919793730679322
result_20260603_172824.csv,4.671539138118116,0.1843194961547851,0.3426251411437988,100.0,100.0,100.0,65.31197057392438,48.00586273666093,79.96554149085794,0.9035285563353633
result_20260603_190831.csv,4.8538440331312716,0.1621227264404297,0.5457580089569092,100.0,100.0,100.0,66.0431054445365,50.1118009154522,87.97978440929928,0.8733761873823063
result_20260603_192654.csv,4.653350225341846,0.1658816337585449,0.3048858642578125,100.0,100.0,100.0,76.17586242185926,55.662650602409634,86.18717891445165,0.9116632464596005
result_20260603_194424.csv,4.645127205318087,0.1620240211486816,0.416156530380249,100.0,100.0,100.0,64.20171962974668,46.4669848279792,80.07282593174354,0.9196519014602108
result_20260603_200153.csv,4.660281928367366,0.1710238456726074,0.2972092628479004,100.0,100.0,100.0,69.78517288680428,54.97114131446658,89.49216736782807,0.9112273572119426
result_20260603_212539.csv,4.7811472860780615,0.1671388149261474,0.6090507507324219,100.0,100.0,100.0,69.4930726851662,44.61800504315779,92.20615036038552,0.8614987962260773
result_20260603_214442.csv,4.722444684256835,0.1631841659545898,0.3195710182189941,100.0,100.0,100.0,75.52272125557494,52.80604354818755,94.9042912959254,0.7981032131192544
result_20260603_220221.csv,4.776028953770048,0.1705536842346191,0.2943198680877685,100.0,100.0,100.0,74.43668192027907,38.45294285918615,90.20278433486367,0.8691969516349152
result_20260603_222020.csv,4.783300417757649,0.1755645275115966,0.307361364364624,100.0,100.0,100.0,74.34204084111968,42.85892625301394,94.28467286313104,0.8870207597939023
result_20260603_223702.csv,4.653631029598004,0.190892219543457,0.3359074592590332,100.0,100.0,100.0,60.992835102031776,34.96218284156369,82.40663998673897,0.8743452572491093
result_20260603_225716.csv,4.756117161456414,0.1697649955749511,0.308011531829834,100.0,100.0,100.0,73.37996074921217,51.47626548071281,93.19000327403688,0.8324909339841657
result_20260603_231545.csv,4.741715434265278,0.1857585906982422,0.4343643188476562,100.0,100.0,100.0,77.7985724841132,48.049159543576955,91.91482980956665,0.9036703902757983
result_20260604_094201.csv,4.172121972171689,0.1638329029083252,0.7567038536071777,100.0,100.0,100.0,74.98415926790247,61.14926733733861,82.0007939366762,0.906900323221863
result_20260604_100030.csv,4.286374729964936,0.1737153530120849,0.404137372970581,100.0,100.0,100.0,80.00446717956807,63.215746421267895,86.98996655518395,0.8865289862550849
result_20260604_101952.csv,4.4574261240468,0.1737756729125976,0.4018368721008301,100.0,100.0,100.0,49.00856621500518,38.02036655416813,66.1008308829288,0.8900473504737164
result_20260604_103905.csv,4.486257209411178,0.1660363674163818,0.4307825565338135,100.0,100.0,100.0,76.49919991020464,51.09833288510964,87.9910430598844,0.8903036922986095
result_20260604_105703.csv,4.527618877715643,0.1648957729339599,0.4420053958892822,100.0,100.0,100.0,77.58067752917827,54.34031059271137,87.57115476485113,0.9096768699530527
result_20260604_111403.csv,4.248796768925552,0.1938340663909912,0.5794787406921387,100.0,100.0,100.0,79.72482336636433,58.056122918391765,90.67416680764676,0.9008578955051271
result_20260604_113312.csv,4.005181721550093,0.2039825916290283,0.6949212551116943,100.0,100.0,100.0,69.13992996275104,47.68492151171434,80.32487546032193,0.9031800797534498
result_20260604_115306.csv,4.551765354029814,0.1651268005371093,0.3832499980926513,100.0,100.0,100.0,79.79131515827936,55.52952483931038,88.182934315531,0.9017943719200743
result_20260604_123225.csv,4.578794168954835,0.1622040271759033,0.4075250625610351,100.0,100.0,100.0,66.70015547902224,43.85986862683766,97.45007680491553,0.8697752365533492
result_20260604_125012.csv,4.4048002985032335,0.1912112236022949,0.5674543380737305,100.0,100.0,100.0,74.6928613350289,44.97249659904181,88.99224305106658,0.8785768858594488
result_20260604_130626.csv,4.868335268801601,0.16264009475708,0.3047676086425781,100.0,100.0,100.0,82.08174723293162,69.14159442461329,89.60150809027596,0.8845357799311357
result_20260604_132327.csv,4.840384800805609,0.1612381935119629,0.3857269287109375,100.0,100.0,100.0,72.55267513644822,61.691527118830116,81.67038443761179,0.9258544110237988
result_20260604_134346.csv,4.194911974338736,0.164064884185791,0.4942669868469238,100.0,100.0,100.0,59.63999632165996,44.61165518695129,77.4912800573145,0.8681559107491758
result_20260604_140322.csv,4.137590409349483,0.1568853855133056,0.7527890205383301,100.0,100.0,100.0,70.81159846194896,46.32959905660377,89.03228014924862,0.8416633842851534
result_20260604_191754.csv,4.541483875610516,0.1952731609344482,0.4176509380340576,100.0,100.0,100.0,63.48828848958997,53.19829685829931,81.28943090924118,0.8626197570587095
result_20260604_193550.csv,4.393969687135498,0.1784682273864746,0.3404293060302734,100.0,100.0,100.0,70.51463843725702,52.929783222365614,87.1672055242885,0.8991927312533414
result_20260604_195712.csv,4.340035604111292,0.188431978225708,0.3181245326995849,100.0,100.0,100.0,67.6656037796041,54.524555196289214,75.30495482455831,0.893814794175064
result_20260604_202126.csv,4.183473258422439,0.1981234550476074,0.3438720703125,100.0,100.0,100.0,62.962145516441026,49.86699356916435,76.5464956207729,0.9017016776599212
result_20260604_204106.csv,4.45144247184436,0.1745188236236572,0.3236289024353027,100.0,100.0,100.0,65.71384874859505,52.42957114659967,79.27184038082925,0.9110146706980223
result_20260604_205853.csv,4.4770662735984335,0.1892476081848144,0.4392933845520019,100.0,100.0,100.0,69.8189884191394,46.343371460098645,88.29037747013058,0.8557127173070569
result_20260604_211546.csv,4.5763848221593975,0.1815285682678222,0.4005868434906006,100.0,100.0,100.0,68.59808031231738,56.02202983711455,88.49502724536067,0.8997728754268425
result_20260604_213310.csv,4.740201703530786,0.1731653213500976,0.299119234085083,100.0,100.0,100.0,79.30366403869314,58.333524671090395,89.7998615394298,0.8680446937626449
result_20260604_215048.csv,4.59856844959429,0.1690397262573242,0.3187704086303711,100.0,100.0,100.0,77.742826087191,61.681031103176664,94.59146278274469,0.8369782881351419
result_20260604_220757.csv,3.8692708711051496,0.2250075340270996,0.4892563819885254,100.0,100.0,100.0,69.35390010650838,53.71953888493955,79.78812309882954,0.9147750594257745
result_20260604_222717.csv,4.387585460217124,0.1885592937469482,0.3576796054840088,100.0,100.0,100.0,66.86622922041647,46.5101676713088,83.44632768361582,0.9049933202993006
result_20260604_224531.csv,4.260293053857246,0.2036714553833007,0.386613130569458,100.0,100.0,100.0,70.3054300024901,47.78827556458458,88.01366367490252,0.8921851303735663
result_20260604_230312.csv,4.391151589731656,0.1931707859039306,0.3417608737945556,100.0,100.0,100.0,75.6731023057039,55.51225123219186,88.9618166447492,0.8887389855760893
result_20260604_232019.csv,4.485038966256156,0.1929202079772949,0.382394790649414,100.0,100.0,100.0,71.05502323348477,49.027053578175774,84.62657793379563,0.8762671946653241
result_20260604_233914.csv,4.47433246475729,0.1833181381225586,0.3223738670349121,100.0,100.0,100.0,78.0838650617419,56.07671121085382,91.85397255916354,0.8618688395601211
result_20260604_235657.csv,4.532631272737725,0.1860928535461425,0.5403714179992676,100.0,100.0,100.0,73.41017247424585,54.82288443025514,87.8888094747766,0.8922656261570702
result_20260605_001435.csv,4.539044014773414,0.174363374710083,0.3184065818786621,100.0,100.0,100.0,65.72791527611004,44.78369687650437,83.95062752998636,0.8978992254493701
result_20260605_122130.csv,4.873044139418973,0.1668093204498291,0.5518372058868408,100.0,100.0,100.0,65.35603634711585,49.40320688827873,86.54210028382214,0.9107867086092366
result_20260605_124152.csv,4.627364649917812,0.157099962234497,0.3081874847412109,100.0,100.0,100.0,59.45005235975827,42.74122240741175,84.54255477313582,0.7409103782979425
result_20260605_130051.csv,4.764232116232142,0.151285171508789,0.3050177097320556,100.0,100.0,100.0,69.37836616798249,51.87160034354423,81.98053481999433,0.8627001073783519
result_20260605_132208.csv,4.433452738836554,0.1748139858245849,0.3149785995483398,100.0,100.0,100.0,82.40746962895928,79.50419804076847,85.09384250645483,0.8258270380299014
result_20260605_144459.csv,4.901230334394596,0.1534299850463867,0.4700264930725097,100.0,100.0,100.0,74.25911809817224,57.344260018056815,88.01615445232467,0.8553541607577193
result_20260605_150218.csv,4.450251603477646,0.1900808811187744,0.5041015148162842,100.0,100.0,100.0,69.38380249144646,44.01341354057689,86.72897587086523,0.8966224552591255
result_20260605_152516.csv,4.25492635689643,0.1759881973266601,0.3150439262390136,100.0,100.0,100.0,65.17532099390142,48.379693061167586,78.33315162747877,0.9019801114142454
result_20260605_154311.csv,3.9187252561965495,0.2104825973510742,0.3445081710815429,100.0,100.0,100.0,63.88774191181409,53.726236714869835,78.34198377412464,0.886099485068545
result_20260605_210544.csv,4.670858245896085,0.1409165859222412,0.3555171489715576,100.0,100.0,100.0,72.3209513731128,56.72506164195915,78.33877497714509,0.8624685684839885
result_20260605_210652.csv,5.252285398770713,0.1498234272003173,0.2150301933288574,100.0,100.0,100.0,75.06970173625542,68.55004910164733,84.47269529063725,0.8025243184963862
result_20260605_210758.csv,5.3504650102399,0.1495375633239746,0.2230236530303955,100.0,100.0,100.0,78.70680605410111,52.07529012819485,88.12405731523378,0.8171922087669372
result_20260605_211200.csv,5.270343408143609,0.1550641059875488,0.2243874073028564,100.0,100.0,100.0,80.09932389356158,59.64991360528886,89.14991277248015,0.7758765769004822
result_20260605_211618.csv,5.622882506083395,0.1455798149108886,0.2322766780853271,100.0,100.0,100.0,84.52333407487859,69.62100756525335,93.10938845822568,0.8308975148200989
result_20260605_211806.csv,4.689891703556726,0.146071195602417,0.3107340335845947,100.0,100.0,100.0,89.23383621719225,82.42257207439427,93.66181051859996,0.8500024390220642
result_20260605_211910.csv,5.080769783797056,0.1599667072296142,0.2656879425048828,100.0,100.0,100.0,76.7042402304029,67.64107068005349,81.88839615668884,0.8789986010392506
result_20260605_213128.csv,4.737015568066029,0.1696569919586181,0.4373159408569336,100.0,100.0,100.0,67.04632994522343,55.890702003612866,88.58925434611425,0.9147330451011658
result_20260605_213242.csv,4.642648872892159,0.1809942722320556,0.2613933086395263,100.0,100.0,100.0,72.51920929149937,63.77293247526654,80.51131366638029,0.8954307929674784
result_20260605_213351.csv,4.45961190139419,0.1858181953430175,0.2679097652435303,100.0,100.0,100.0,79.24042832667793,70.35212729770683,87.45605332112238,0.8733237500985463
result_20260605_213510.csv,4.711042695411884,0.1835827827453613,0.2461273670196533,100.0,100.0,100.0,68.64480685218814,56.92977004350528,77.51537647712806,0.9163049550851187
result_20260605_213741.csv,5.019827159396102,0.1598782539367675,0.2379229068756103,100.0,100.0,100.0,73.50342556187314,56.7792582265245,87.29742908225215,0.8398885401089986
result_20260605_214105.csv,5.047477588970568,0.1623983383178711,0.243715763092041,100.0,100.0,100.0,71.62444715721307,62.77165621291745,85.68632768692873,0.8827036400636037
result_20260605_214449.csv,4.714967380613572,0.1715841293334961,0.3233871459960937,100.0,100.0,100.0,74.2563491950454,58.45696654296236,81.41988042710065,0.8674382948875428
result_20260605_214701.csv,4.9042910176675765,0.16798996925354,0.2837293148040771,100.0,100.0,100.0,66.25603837093793,47.74611047336856,78.08177185117063,0.8886564429601034
result_20260605_215236.csv,5.02998649237509,0.1649446487426757,0.2439045906066894,100.0,100.0,100.0,78.45555582962808,70.82102984600543,85.28252299605782,0.9054958629608154
result_20260605_215509.csv,5.538852661923869,0.1442203521728515,0.2283847332000732,100.0,100.0,100.0,56.17004667085913,48.90824622531939,74.14488017429194,0.849248035332641
result_20260605_215640.csv,5.228751715890142,0.1570053100585937,0.2493946552276611,100.0,100.0,100.0,80.08063514865849,68.58232729711602,87.38127544097694,0.667829230835993
result_20260605_220002.csv,5.337095615472547,0.1540372371673584,0.25520920753479,100.0,100.0,100.0,74.51191017070138,67.29758923749202,81.93140926782698,0.8686922212441762
result_20260606_150359.csv,9.141775744417327,0.0851109027862548,0.1610941886901855,100.0,100.0,100.0,77.30698878426072,63.71520706042091,83.31598577500216,0.9160375996430715
result_20260606_150506.csv,8.914952844123249,0.0869269371032714,0.1774110794067382,100.0,100.0,100.0,79.51473475217094,59.038266531461815,91.47345698752798,0.8991002290021806
result_20260606_150627.csv,8.675540363926746,0.0925848484039306,0.1630580425262451,100.0,100.0,100.0,76.30188808554036,69.96700665902186,81.92519019442096,0.912272551904122
result_20260606_152121.csv,8.48922668050536,0.0987920761108398,0.3092076778411865,100.0,100.0,100.0,78.42273873014382,71.02926923822446,87.75785027850891,0.9145868139607566
result_20260606_152232.csv,8.320286639804264,0.1001906394958496,0.1762011051177978,100.0,100.0,100.0,84.94978054718464,75.18940065477668,90.9129682907726,0.9079560333774204
result_20260606_152339.csv,8.36628627015772,0.1030812263488769,0.1747543811798095,100.0,100.0,100.0,67.29685303207094,56.51490353618013,86.2400979403716,0.8972608518032801
result_20260606_152602.csv,8.712507167431113,0.0978395938873291,0.1863162517547607,100.0,100.0,100.0,81.24356605317892,58.53373332688182,93.18906748389519,0.8728742755121655
result_20260606_152709.csv,8.908209512043666,0.0908823013305664,0.1685242652893066,100.0,100.0,100.0,91.94953786040512,51.58000182132775,100.0,0.7897187503392264
result_20260606_152823.csv,8.47855291703263,0.0996003150939941,0.1864783763885498,100.0,100.0,100.0,83.35336985742303,64.85664473600488,98.329086158511,0.7806828982300229
result_20260606_153747.csv,8.433504039873068,0.1003820896148681,0.2968161106109619,100.0,100.0,100.0,70.79075960994946,60.943390625463834,77.9338327091136,0.7862376825677024
result_20260606_153903.csv,8.380229781473677,0.0999510288238525,0.1620926856994629,100.0,100.0,100.0,71.64714775530794,58.32426716169232,82.44040568134385,0.4082829412817955
result_20260606_154045.csv,8.466357544716267,0.0946097373962402,0.1726415157318115,100.0,100.0,100.0,70.02051039256062,59.40121267758916,76.90979927997238,0.7905775985547474
result_20260606_154752.csv,8.335089317612649,0.1015093326568603,0.16619873046875,100.0,100.0,100.0,79.21898813541036,65.59863767356563,89.27019195943498,0.7282854042671345
result_20260606_154925.csv,8.345590622228134,0.1009864807128906,0.1614995002746582,100.0,100.0,100.0,82.57073732713751,63.60307474616135,88.88831914675418,0.8357491426997714
result_20260606_155204.csv,8.754721881102432,0.0947999954223632,0.1765265464782714,100.0,100.0,100.0,71.07137204443768,65.20660770274696,93.88589516524098,0.9017536359173911
result_20260606_155914.csv,8.632413670359277,0.0947873592376709,0.1642711162567138,100.0,100.0,100.0,86.01402398475432,72.24872448979592,93.56924676675116,0.8659034201077053
result_20260606_160028.csv,8.523023054328503,0.0977630615234375,0.1932618618011474,100.0,100.0,100.0,88.08125283316889,78.86316507861511,94.41652514469901,0.896640564146496
result_20260606_160133.csv,7.805270757264104,0.1023576259613037,0.2836332321166992,100.0,100.0,100.0,62.88849647802698,59.76451579359937,86.61295405653526,0.896661833354405
result_20260607_021235.csv,8.769748275867839,0.0884523391723632,0.2914531230926513,100.0,100.0,100.0,73.05971963953435,70.70943762120233,76.17126304277141,0.9138432376914554
,,,,,,,,,,
영상 파일명,평균 속도(FPS),최저 속도(Seconds),최고 속도(Seconds),평균 사람 형태 차단율(%),최저 사람 형태 차단율(%),최고 사람 형태 차단율(%),평균 BBox 마스킹률(%),최저 BBox 마스킹률(%),최고 BBox 마스킹률(%),평균 신뢰도 점수(Conf)
[전체 종합 평균값] Total_Batch_Average,5.35,0.1579,0.3485,100.00%,100.00%,100.00%,73.08%,55.87%,86.50%,0.8658
[최저 평균 레코드] 각 지표별 가장 낮은 평균 수치를 기록한 영상 추적,3.18 (from: result_20260601_132236.csv),0.0851 (from: result_20260606_150359.csv),0.1611 (from: result_20260606_150359.csv),100.00% (from: result_20260601_130319.csv),100.00% (from: result_20260601_130319.csv),100.00% (from: result_20260601_130319.csv),49.01% (from: result_20260604_101952.csv),34.96% (from: result_20260603_223702.csv),66.10% (from: result_20260604_101952.csv),0.4083 (from: result_20260606_153903.csv)
[최고 평균 레코드] 각 지표별 가장 높은 평균 수치를 기록한 영상 추적,9.14 (from: result_20260606_150359.csv),0.2250 (from: result_20260604_220757.csv),0.7928 (from: result_20260602_163553.csv),100.00% (from: result_20260601_130319.csv),100.00% (from: result_20260601_130319.csv),100.00% (from: result_20260601_130319.csv),91.95% (from: result_20260606_152709.csv),82.42% (from: result_20260606_152709.csv),100.00% (from: result_20260606_152709.csv),0.9259 (from: result_20260604_132327.csv)
